RowID,Sport,Name,Active,Type,Status,MaxAge,MinAge,GenderType,MaxPart,MinPart,MinMales,MinFemales,TeamSize,Limit,StartLimit
-974144376,Lawn Bowls,Lawn Bowls,TRUE,Team,Open,130,11,Open,6,0,0,0,4,32,32
855126191,Mountain Bike Riding,Mountain Bike Riding Ladies' Open,TRUE,Singles,Open,29,11,Ladies,1,1,0,0,1,,
-1365482891,Mountain Bike Riding,Mountain Bike Riding Ladies' Under 18,TRUE,Singles,Open,17,11,Ladies,1,1,0,0,1,,
1177709714,Mountain Bike Riding,Mountain Bike Riding Men's Open,TRUE,Singles,Open,29,11,Mens,1,1,0,0,1,,
2106797328,Mountain Bike Riding,Mountain Bike Riding Men's Under 18,TRUE,Singles,Open,17,11,Mens,1,1,0,0,1,,
1096502225,Netball,Netball Ladies' A,TRUE,Team,Open,130,11,Ladies,12,0,0,0,7,24,24
577378750,Netball,Netball Mixed A,TRUE,Team,Open,130,11,Mixed,12,0,0,4,7,24,24
-1723385241,Netball,Netball Mixed B,TRUE,Team,Open,130,11,Mixed,14,0,0,4,7,96,96
-960639460,Netball,Netball Mixed Under 18,TRUE,Team,Open,17,11,Mixed,14,0,0,4,7,36,36
-2108614941,Pool,Pool Open,TRUE,Singles,Open,29,18,Open,1,1,0,0,1,32,32
641074121,Pool,Pool Under 18,TRUE,Singles,Open,17,11,Open,1,1,0,0,1,32,32
-1260652115,Pool Volleyball,Pool Volleyball A,TRUE,Team,Open,130,11,Open,12,0,0,0,6,8,8
611881142,Pool Volleyball,Pool Volleyball B,TRUE,Team,Open,130,11,Open,12,0,0,0,6,16,16
-1733663795,Pool Volleyball,Pool Volleyball C,TRUE,Team,Open,130,11,Open,12,0,0,0,6,8,8
1030080449,Scrabble,Scrabble Open,TRUE,Singles,Open,29,11,Open,1,1,0,0,1,32,32
376524891,Scrabble,Scrabble Under 18,TRUE,Singles,Open,17,11,Open,1,1,0,0,1,32,32
-1773655269,Soccer,Soccer Mixed B,TRUE,Team,Open,130,11,Mixed,99,0,0,4,11,16,16
-733228606,Soccer,Soccer Open A,TRUE,Team,Open,130,11,Open,99,0,0,0,11,8,8
,Soccer,Soccer Open B,TRUE,Team,Open,130,11,Open,99,0,0,0,11,8,8
-1054222912,Squash,Squash Ladies' Open,TRUE,Singles,Open,29,11,Ladies,1,1,0,0,1,16,16
-1109544466,Squash,Squash Ladies' Under 18,TRUE,Singles,Open,17,11,Ladies,1,1,0,0,1,16,16
-481027369,Squash,Squash Men's Open,TRUE,Singles,Open,29,11,Mens,1,1,0,0,1,16,16
1158019293,Squash,Squash Men's Under 18,TRUE,Singles,Open,17,11,Mens,1,1,0,0,1,16,16
-267078188,Table Tennis,Table Tennis Ladies Open,TRUE,Singles,Open,29,11,Ladies,1,1,0,0,1,32,32
